,Graph,Collection,Nodes,Edges,Density,Maximum degree,Minimum degree,Average degree,Assortativity,Total triangles,Average triangles,Maximum triangles,Avg. clustering coef.,Frac. closed triangles,Maximum k-core,Max. clique (lb),Chromatic Number
1014,ENZYMES-g522,Cheminformatics,37,164,0.2462,7,0,4.43,-0.02,130,3.51,8,0.463,0.447,3,2,4
1015,ENZYMES-g523,Cheminformatics,48,222,0.1968,6,0,4.63,-0.03,112,2.33,6,0.286,0.273,3,2,5
1016,ENZYMES-g524,Cheminformatics,41,148,0.1805,5,0,3.61,-0.02,114,2.78,6,0.584,0.57,3,2,4
1017,ENZYMES-g525,Cheminformatics,29,132,0.3251,7,0,4.55,-0.04,103,3.55,8,0.483,0.431,3,2,4
1018,ENZYMES-g526,Cheminformatics,58,220,0.1331,7,0,3.79,-0.02,66,1.14,3,0.208,0.204,3,1,4
1019,ENZYMES-g527,Cheminformatics,57,214,0.1341,8,0,3.75,-0.03,80,1.4,4,0.27,0.25,3,2,4
1020,ENZYMES-g528,Cheminformatics,21,106,0.5048,7,0,5.05,-0.06,92,4.38,8,0.467,0.426,4,2,5
1021,ENZYMES-g529,Cheminformatics,18,86,0.5621,7,0,4.78,-0.08,63,3.5,6.5,0.431,0.396,3,2,5
1022,ENZYMES-g53,Cheminformatics,16,62,0.5167,6,0,3.88,-0.1,31,1.94,6,0.308,0.356,3,2,4
1023,ENZYMES-g530,Cheminformatics,42,166,0.1928,5,0,3.95,-0.03,67,1.6,3,0.262,0.273,3,1,4
1024,ENZYMES-g531,Cheminformatics,40,164,0.2103,5,0,4.1,-0.03,64,1.6,3,0.24,0.255,3,1,4
1025,ENZYMES-g532,Cheminformatics,74,240,0.0889,7,0,3.24,-0.01,48,0.65,4,0.092,0.138,3,1,4
1026,ENZYMES-g533,Cheminformatics,44,170,0.1797,6,0,3.86,-0.04,58,1.32,3,0.253,0.226,3,1,4
1027,ENZYMES-g534,Cheminformatics,44,198,0.2093,6,0,4.5,-0.03,70,1.59,4,0.202,0.197,3,1,4
1028,ENZYMES-g535,Cheminformatics,40,168,0.2154,6,0,4.2,-0.02,141,3.53,7,0.533,0.509,3,2,4
1029,ENZYMES-g536,Cheminformatics,44,184,0.1945,7,0,4.18,-0.02,80,1.82,5,0.265,0.261,3,1,4
1030,ENZYMES-g537,Cheminformatics,42,178,0.2067,8,0,4.24,-0.04,97,2.31,11.5,0.329,0.311,3,2,5
1031,ENZYMES-g538,Cheminformatics,43,176,0.1949,7,0,4.09,-0.03,73,1.7,5,0.281,0.255,3,2,4
1032,ENZYMES-g539,Cheminformatics,41,184,0.2244,6,0,4.49,-0.03,154,3.76,6,0.52,0.471,3,2,5
1033,ENZYMES-g54,Cheminformatics,18,62,0.4052,6,0,3.44,-0.07,18,1,4,0.213,0.231,3,1,3
1034,ENZYMES-g540,Cheminformatics,49,184,0.1565,6,0,3.76,-0.02,63,1.29,6,0.247,0.236,3,1,3
1035,ENZYMES-g541,Cheminformatics,56,152,0.0987,6,0,2.71,-0.48,10,0.18,2,0.043,0.066,4,1,3
1036,ENZYMES-g542,Cheminformatics,44,202,0.2135,7,0,4.59,-0.04,103,2.34,5,0.325,0.281,3,1,5
1037,ENZYMES-g543,Cheminformatics,42,152,0.1765,6,0,3.62,-0.02,123,2.93,6,0.629,0.591,3,2,5
1038,ENZYMES-g544,Cheminformatics,41,158,0.1927,6,0,3.85,-0.02,144,3.51,6,0.641,0.608,3,2,5
1039,ENZYMES-g545,Cheminformatics,41,154,0.1878,6,0,3.76,-0.02,135,3.29,6,0.637,0.603,3,2,4
1040,ENZYMES-g546,Cheminformatics,44,164,0.1734,6,0,3.73,-0.02,138,3.14,7,0.627,0.582,3,2,5
1041,ENZYMES-g547,Cheminformatics,39,164,0.2213,6,0,4.21,-0.01,50,1.28,6,0.146,0.179,3,2,4
1042,ENZYMES-g548,Cheminformatics,25,90,0.3,5,0,3.6,-0.05,65,2.6,5,0.553,0.58,3,2,5
1043,ENZYMES-g549,Cheminformatics,25,94,0.3133,5,0,3.76,-0.04,77,3.08,6,0.59,0.611,3,2,5
1044,ENZYMES-g55,Cheminformatics,7,24,1.1429,6,0,3.43,-0.16,18,2.57,5,0.667,0.6,3,2,4
1045,ENZYMES-g550,Cheminformatics,26,90,0.2769,5,0,3.46,-0.05,62,2.38,5,0.538,0.579,3,2,4
1046,ENZYMES-g551,Cheminformatics,52,196,0.1478,6,0,3.77,-0.03,70,1.35,6,0.212,0.24,3,2,5
1047,ENZYMES-g552,Cheminformatics,41,172,0.2098,7,0,4.2,-0.02,143,3.49,9,0.535,0.485,3,2,5
1048,ENZYMES-g553,Cheminformatics,45,164,0.1657,6,0,3.64,-0.02,135,3,7,0.607,0.592,3,2,4
1049,ENZYMES-g554,Cheminformatics,31,128,0.2753,6,0,4.13,-0.04,63,2.03,4.5,0.344,0.315,3,2,4
1050,ENZYMES-g555,Cheminformatics,26,92,0.2831,5,0,3.54,-0.03,71,2.73,5,0.571,0.597,3,2,5
1051,ENZYMES-g556,Cheminformatics,26,96,0.2954,5,0,3.69,-0.03,83,3.19,6,0.607,0.624,3,2,5
1052,ENZYMES-g557,Cheminformatics,52,198,0.1493,6,0,3.81,-0.03,73,1.4,5,0.226,0.254,3,2,4
1053,ENZYMES-g558,Cheminformatics,50,186,0.1518,6,0,3.72,-0.03,53,1.06,4,0.186,0.204,3,1,4
1054,ENZYMES-g559,Cheminformatics,38,134,0.1906,6,0,3.53,-0.03,34,0.89,6,0.205,0.199,3,2,4
1055,ENZYMES-g56,Cheminformatics,18,74,0.4837,7,0,4.11,-0.05,65,3.61,8,0.606,0.551,3,2,4
1056,ENZYMES-g560,Cheminformatics,37,134,0.2012,6,0,3.62,-0.04,35,0.95,6,0.172,0.198,3,2,4
1057,ENZYMES-g561,Cheminformatics,27,104,0.2963,5,0,3.85,-0.04,89,3.3,6,0.595,0.597,3,2,4
1058,ENZYMES-g562,Cheminformatics,29,110,0.2709,6,0,3.79,-0.05,91,3.14,5,0.61,0.576,3,2,4
1059,ENZYMES-g563,Cheminformatics,48,160,0.1418,7,0,3.33,-0.04,7,0.15,1.5,0.034,0.035,2,1,4
1060,ENZYMES-g564,Cheminformatics,40,148,0.1897,6,0,3.7,-0.03,35,0.88,2.5,0.174,0.174,3,2,4
1061,ENZYMES-g565,Cheminformatics,19,68,0.3977,5,0,3.58,-0.04,51,2.68,5,0.595,0.567,3,2,4
1062,ENZYMES-g566,Cheminformatics,14,66,0.7253,6,0,4.71,-0.06,56,4,7,0.48,0.452,3,2,4
1063,ENZYMES-g567,Cheminformatics,13,62,0.7949,6,0,4.77,-0.06,53,4.08,7,0.473,0.449,4,2,4
1064,ENZYMES-g568,Cheminformatics,13,68,0.8718,7,0,5.23,-0.08,67,5.15,8,0.493,0.475,4,2,5
1065,ENZYMES-g569,Cheminformatics,44,170,0.1797,6,0,3.86,-0.03,44,1,4,0.144,0.172,3,1,4
1066,ENZYMES-g57,Cheminformatics,10,36,0.8,5,0,3.6,-0.16,27,2.7,4,0.667,0.614,3,2,4
1067,ENZYMES-g570,Cheminformatics,45,156,0.1576,6,0,3.47,-0.04,60,1.33,3,0.332,0.3,3,1,4
1068,ENZYMES-g571,Cheminformatics,46,164,0.1585,6,0,3.57,-0.03,84,1.83,6,0.403,0.37,3,2,5
1069,ENZYMES-g572,Cheminformatics,47,158,0.1462,5,0,3.36,-0.03,50,1.06,3,0.258,0.26,3,1,4
1070,ENZYMES-g573,Cheminformatics,47,164,0.1517,6,0,3.49,-0.02,65,1.38,6,0.285,0.301,3,2,5
1071,ENZYMES-g574,Cheminformatics,42,180,0.2091,6,0,4.29,-0.02,89,2.12,4,0.305,0.291,3,1,4
1072,ENZYMES-g575,Cheminformatics,51,220,0.1725,6,0,4.31,-0.03,86,1.69,5,0.218,0.224,4,2,4
1073,ENZYMES-g576,Cheminformatics,27,102,0.2906,5,0,3.78,-0.05,72,2.67,7,0.525,0.5,3,2,5
1074,ENZYMES-g577,Cheminformatics,27,104,0.2963,6,0,3.85,-0.05,72,2.67,7,0.481,0.474,3,2,5
1075,ENZYMES-g578,Cheminformatics,60,206,0.1164,6,0,3.43,-0.02,42,0.7,3,0.121,0.153,3,2,4
1076,ENZYMES-g579,Cheminformatics,28,106,0.2804,6,0,3.79,-0.05,72,2.57,8,0.514,0.474,3,2,4
1077,ENZYMES-g58,Cheminformatics,21,100,0.4762,6,0,4.76,-0.05,117,5.57,10,0.627,0.606,4,3,5
1078,ENZYMES-g580,Cheminformatics,38,150,0.2134,7,0,3.95,-0.04,111,2.92,10,0.545,0.489,3,2,5
1079,ENZYMES-g581,Cheminformatics,23,106,0.419,7,0,4.61,-0.06,89,3.87,7.5,0.499,0.476,3,2,4
1080,ENZYMES-g582,Cheminformatics,18,74,0.4837,5,0,4.11,-0.09,46,2.56,5,0.411,0.426,3,2,4
1081,ENZYMES-g583,Cheminformatics,45,194,0.196,7,0,4.31,-0.05,109,2.42,5,0.354,0.333,3,2,4
1082,ENZYMES-g584,Cheminformatics,21,90,0.4286,6,0,4.29,-0.01,83,3.95,8,0.531,0.542,3,2,5
1083,ENZYMES-g585,Cheminformatics,35,142,0.2387,7,0,4.06,-0.03,135,3.86,9,0.626,0.592,4,3,5
1084,ENZYMES-g586,Cheminformatics,24,102,0.3696,6,0,4.25,-0.05,87,3.63,7,0.547,0.518,3,2,5
1085,ENZYMES-g587,Cheminformatics,21,84,0.4,5,0,4,-0.06,67,3.19,6,0.546,0.532,3,2,4
1086,ENZYMES-g588,Cheminformatics,21,84,0.4,7,0,4,-0.07,61,2.9,6,0.505,0.466,3,2,4
1087,ENZYMES-g589,Cheminformatics,31,124,0.2667,5,0,4,-0.02,85,2.74,7,0.447,0.459,3,2,4
1088,ENZYMES-g59,Cheminformatics,18,64,0.4183,5,0,3.56,-0.07,23,1.28,4,0.286,0.291,3,2,4
1089,ENZYMES-g590,Cheminformatics,27,112,0.3191,6,0,4.15,-0.02,90,3.33,6,0.495,0.495,3,2,5
1090,ENZYMES-g591,Cheminformatics,51,196,0.1537,6,0,3.84,-0.02,70,1.37,5,0.225,0.239,3,1,4
1091,ENZYMES-g592,Cheminformatics,36,156,0.2476,7,0,4.33,-0.02,120,3.33,8,0.48,0.44,3,2,5
1092,ENZYMES-g593,Cheminformatics,46,144,0.1391,6,0,3.13,-0.02,37,0.8,7,0.107,0.195,3,2,5
1093,ENZYMES-g594,Cheminformatics,52,228,0.1719,8,0,4.38,-0.02,149,2.87,9,0.304,0.344,3,2,5
1094,ENZYMES-g595,Cheminformatics,44,180,0.1903,7,0,4.09,-0.04,84,1.91,8,0.224,0.274,3,2,4
1095,ENZYMES-g596,Cheminformatics,45,182,0.1838,8,0,4.04,-0.03,94,2.09,9,0.259,0.303,4,2,4
1096,ENZYMES-g597,Cheminformatics,52,232,0.175,8,0,4.46,-0.02,155,2.98,11,0.301,0.348,4,3,5
1097,ENZYMES-g598,Cheminformatics,55,200,0.1347,7,0,3.64,-0.03,52,0.95,4,0.143,0.176,3,1,3
1098,ENZYMES-g599,Cheminformatics,51,190,0.149,9,0,3.73,-0.04,30,0.59,5,0.085,0.092,3,1,5
1099,ENZYMES-g6,Cheminformatics,24,92,0.3333,6,0,3.83,-0.04,81,3.38,6,0.674,0.6,3,2,4
1100,ENZYMES-g60,Cheminformatics,10,36,0.8,5,0,3.6,-0.16,27,2.7,4,0.667,0.614,3,2,4
1101,ENZYMES-g600,Cheminformatics,47,156,0.1443,8,0,3.32,-0.04,18,0.38,4,0.073,0.074,3,1,4
1102,ENZYMES-g61,Cheminformatics,9,32,0.8889,4,0,3.56,-0.17,27,3,4,0.722,0.75,3,2,4
1103,ENZYMES-g62,Cheminformatics,39,140,0.1889,6,0,3.59,-0.03,107,2.74,6,0.613,0.585,3,2,5
1104,ENZYMES-g63,Cheminformatics,33,110,0.2083,5,0,3.33,-0.03,71,2.15,4,0.56,0.546,3,2,4
1105,ENZYMES-g64,Cheminformatics,29,98,0.2414,6,0,3.38,-0.04,68,2.34,6,0.603,0.562,3,2,4
1106,ENZYMES-g65,Cheminformatics,24,78,0.2826,5,0,3.25,-0.04,50,2.08,5,0.563,0.568,3,2,4
1107,ENZYMES-g66,Cheminformatics,25,86,0.2867,5,0,3.44,-0.03,59,2.36,5,0.583,0.557,3,2,4
1108,ENZYMES-g67,Cheminformatics,30,108,0.2483,5,0,3.6,-0.03,84,2.8,5,0.607,0.579,3,2,4
1109,ENZYMES-g68,Cheminformatics,38,150,0.2134,6,0,3.95,-0.03,63,1.66,5,0.263,0.28,3,2,5
1110,ENZYMES-g69,Cheminformatics,28,110,0.291,6,0,3.93,-0.04,88,3.14,7,0.574,0.533,3,2,5
1111,ENZYMES-g7,Cheminformatics,26,118,0.3631,7,0,4.54,-0.04,99,3.81,9,0.489,0.471,3,2,5
1112,ENZYMES-g70,Cheminformatics,28,108,0.2857,5,0,3.86,-0.05,89,3.18,6,0.585,0.567,3,2,5
1113,ENZYMES-g71,Cheminformatics,38,176,0.2504,7,0,4.63,-0.04,140,3.68,7,0.477,0.424,4,2,5
1114,ENZYMES-g72,Cheminformatics,40,140,0.1795,5,0,3.5,-0.01,98,2.45,5,0.55,0.544,3,2,5
1115,ENZYMES-g73,Cheminformatics,40,174,0.2231,6,0,4.35,-0.01,139,3.48,7,0.461,0.456,3,2,4
1116,ENZYMES-g74,Cheminformatics,42,188,0.2184,6,0,4.48,-0.03,156,3.71,6.5,0.478,0.466,3,2,5
1117,ENZYMES-g75,Cheminformatics,20,72,0.3789,6,0,3.6,-0.09,53,2.65,6.5,0.599,0.558,3,2,4
1118,ENZYMES-g76,Cheminformatics,19,70,0.4094,6,0,3.68,-0.09,53,2.79,6.5,0.608,0.552,3,2,4
1119,ENZYMES-g77,Cheminformatics,16,56,0.4667,5,0,3.5,-0.07,39,2.44,5,0.578,0.582,3,2,4
1120,ENZYMES-g78,Cheminformatics,17,58,0.4265,5,0,3.41,-0.08,39,2.29,4,0.597,0.582,3,2,4
1121,ENZYMES-g79,Cheminformatics,20,80,0.4211,5,0,4,-0.08,59,2.95,5,0.55,0.513,3,2,4
1122,ENZYMES-g8,Cheminformatics,88,266,0.0695,8,0,3.02,-0.01,9,0.1,2,0.023,0.027,3,1,3
1123,ENZYMES-g80,Cheminformatics,18,64,0.4183,5,0,3.56,-0.07,45,2.5,5,0.592,0.563,3,2,4
1124,ENZYMES-g81,Cheminformatics,33,138,0.2614,6,0,4.18,-0.02,96,2.91,7,0.447,0.425,3,2,4
1125,ENZYMES-g82,Cheminformatics,23,88,0.3478,5,0,3.83,-0.04,75,3.26,6,0.577,0.591,3,2,5
1126,ENZYMES-g83,Cheminformatics,23,84,0.332,5,0,3.65,-0.04,63,2.74,5,0.561,0.558,3,2,4
1127,ENZYMES-g84,Cheminformatics,35,148,0.2487,5,0,4.23,-0.04,112,3.2,6,0.486,0.469,3,2,4
1128,ENZYMES-g85,Cheminformatics,33,136,0.2576,5,0,4.12,-0.05,106,3.21,6,0.523,0.502,3,2,4
1129,ENZYMES-g86,Cheminformatics,39,138,0.1862,6,0,3.54,-0.04,100,2.56,6,0.603,0.568,3,2,4
1130,ENZYMES-g87,Cheminformatics,40,146,0.1872,6,0,3.65,-0.03,101,2.53,6,0.562,0.518,3,2,5
1131,ENZYMES-g88,Cheminformatics,38,182,0.2589,7,0,4.79,-0.04,158,4.16,7,0.51,0.441,4,2,5
1132,ENZYMES-g89,Cheminformatics,40,188,0.241,8,0,4.7,-0.03,155,3.88,7.5,0.477,0.423,4,2,5
1133,ENZYMES-g9,Cheminformatics,23,78,0.3083,5,0,3.39,-0.06,54,2.35,4,0.604,0.593,3,2,4
1134,ENZYMES-g90,Cheminformatics,38,132,0.1878,5,0,3.47,-0.03,92,2.42,5,0.566,0.548,3,2,4
1135,ENZYMES-g91,Cheminformatics,37,158,0.2372,7,0,4.27,-0.04,115,3.11,6,0.465,0.441,3,2,4
1136,ENZYMES-g92,Cheminformatics,36,154,0.2444,7,0,4.28,-0.05,118,3.28,6,0.49,0.463,3,2,4
1137,ENZYMES-g93,Cheminformatics,34,112,0.1996,5,0,3.29,-0.04,71,2.09,5,0.544,0.542,3,2,4
1138,ENZYMES-g94,Cheminformatics,34,134,0.2389,5,0,3.94,-0.02,93,2.74,5,0.487,0.463,3,2,5
1139,ENZYMES-g95,Cheminformatics,32,128,0.2581,5,0,4,-0.03,87,2.72,5,0.481,0.46,3,2,4
1140,ENZYMES-g96,Cheminformatics,18,64,0.4183,5,0,3.56,-0.06,48,2.67,5,0.609,0.571,3,2,4
1141,ENZYMES-g97,Cheminformatics,32,130,0.2621,7,0,4.06,-0.02,115,3.59,8,0.611,0.548,3,2,5
1142,ENZYMES-g98,Cheminformatics,34,134,0.2389,6,0,3.94,-0.04,50,1.47,3,0.265,0.238,3,1,4
1143,ENZYMES-g99,Cheminformatics,30,116,0.2667,6,0,3.87,-0.06,34,1.13,3,0.196,0.198,3,1,4
1144,ca-AstroPh,Collaboration Networks,18772,198050,0.00112411,504,0,21,0.205129,4054323,215,11269,0.630593,0.318002,57,28,
1145,ca-CSphd,Collaboration Networks,1882,1740,0.000983039,46,1,1,-0.196611,24,0,4,0.0050668,0.00362264,3,3,
1146,ca-CondMat,Collaboration Networks,23133,93439,0.000349231,279,1,8,0.133955,520083,22,1615,0.633413,0.264317,26,23,
1147,ca-Erdos992,Collaboration Networks,6100,7515,0.00040399,61,0,2,-0.443834,4830,0,99,0.0683396,0.0419402,8,7,
1148,ca-GrQc,Collaboration Networks,5242,14484,0.0010544,81,0,5,0.659325,144780,27,1179,0.529636,0.629842,44,44,
1149,ca-HepPh,Collaboration Networks,12008,118489,0.00164363,491,0,19,0.632275,10075497,839,39633,0.611483,0.659477,239,239,
1150,ca-IMDB,Collaboration Networks,896305,3782456,9.42E-06,1590,1,8,-0.052988,13074,0,78,5.79E-05,8.08E-05,24,3,
1151,ca-MathSciNet-dir,Collaboration Networks,391529,873775,1.14E-05,496,1,4,0.122669,1802574,4,1564,0.401687,0.141333,25,25,
1152,ca-MathSciNet,Collaboration Networks,332689,820644,1.48E-05,496,1,4,0.10301,1730334,5,1564,0.41042,0.136691,25,25,
1153,ca-citeseer,Collaboration Networks,227320,814134,3.15E-05,1372,1,7,0.0696073,8139894,35,5398,0.675803,0.455516,87,69,
1154,ca-coauthors-dblp,Collaboration Networks,540486,15245729,0.000104378,3299,1,56,0.509785,1332285174,2464,284067,0.801877,0.65615,337,218,
1155,ca-dblp-2010,Collaboration Networks,226413,716460,2.80E-05,238,1,6,0.296791,4793937,21,5947,0.635305,0.383187,75,59,
1156,ca-dblp-2012,Collaboration Networks,317080,1049866,2.09E-05,343,1,6,0.266521,6673155,21,8345,0.632431,0.306377,114,102,
1157,ca-hollywood-2009,Collaboration Networks,1069126,56306653,9.85E-05,11467,1,105,0.350902,14748661845,13795,3977656,0.766355,0.309554,2209,53,
1158,ca-netscience,Collaboration Networks,379,914,0.0127598,34,1,4,-0.0816778,2763,7,75,0.741231,0.430575,9,9,
1159,ca-sandi-auths,Collaboration Networks,86,124,0.0339261,12,1,2,-0.255801,126,1,7,0.414879,0.272138,5,5,
1160,bn-cat-mixed-species-brain-1,Brain Networks,65,1139,0.547596,72,6,35,0.0101974,28192,433,1245,0.708654,0.595333,27,11,
1161,bn-fly-drosophila-medulla-1,Brain Networks,1781,33508,0.0211395,16224,1,37,-0.325174,11492715,6452,736539,3.8729,0.0840624,329,8,
1162,bn-human-BNU-1-0025864-session-1-bg,Brain Networks,696338,143158339,0.000590483,15114,1,411,0.441507,59846771850,85945,8218026,0.520314,0.323112,1210,133,
1163,bn-human-BNU-1-0025864-session-2-bg,Brain Networks,692957,133727516,0.000556979,8444,1,385,0.472973,51185630133,73865,3580116,0.521699,0.323948,1088,129,
1164,bn-human-BNU-1-0025865-session-1-bg,Brain Networks,734561,165916089,0.000614983,8268,1,451,0.348899,62381943627,84924,4525001,0.509766,0.307421,1026,224,
1165,bn-human-BNU-1-0025865-session-2-bg,Brain Networks,714808,155182525,0.000607428,10056,1,434,0.347204,55351591326,77435,4491892,0.510512,0.311937,955,129,
1166,bn-human-BNU-1-0025867-session-1-bg,Brain Networks,747410,145276294,0.000520125,7740,1,388,0.383376,49443192165,66152,3764591,0.512082,0.314565,881,123,
1167,bn-human-BNU-1-0025867-session-2-bg,Brain Networks,735023,154669030,0.000572575,7057,1,420,0.509167,57774552021,78602,5103786,0.51058,0.309442,1166,190,
1168,bn-human-BNU-1-0025868-session-1-bg,Brain Networks,727487,150443553,0.00056853,7889,1,413,0.430495,56834526780,78124,3965905,0.517353,0.295197,1055,206,
1169,bn-human-BNU-1-0025868-session-2-bg,Brain Networks,728087,158620929,0.000598445,10788,1,435,0.52197,68798459766,94492,5339982,0.514541,0.294546,1466,177,
1170,bn-human-BNU-1-0025869-session-1-bg,Brain Networks,690519,135038917,0.00056642,10330,1,391,0.404834,53601571530,77625,5985687,0.525167,0.317436,1111,157,
1171,bn-human-BNU-1-0025869-session-2-bg,Brain Networks,716150,151544915,0.000590968,11550,1,423,0.460255,72956366064,101873,7427248,0.527521,0.316898,1399,234,
1172,bn-human-BNU-1-0025870-session-1-bg,Brain Networks,797293,148754618,0.000468021,7502,1,373,0.404232,52504819698,65853,2976664,0.513571,0.308587,912,142,
1173,bn-human-BNU-1-0025870-session-2-bg,Brain Networks,810505,166806043,0.000507845,10366,1,411,0.500233,68564420715,84594,6143527,0.509877,0.291062,1348,118,
1174,bn-human-BNU-1-0025871-session-1-bg,Brain Networks,747343,168679312,0.000604022,8468,1,451,0.422836,67895304222,90848,5450844,0.510303,0.318183,1003,249,
1175,bn-human-BNU-1-0025871-session-2-bg,Brain Networks,734729,171005692,0.000633559,9021,1,465,0.436184,72636393471,98861,6364516,0.511557,0.31737,1288,198,
1176,bn-human-BNU-1-0025872-session-1-bg,Brain Networks,756166,166572007,0.000582637,17749,1,440,0.490257,1.0903E+11,144188,17512230,0.523955,0.28568,2195,255,
1177,bn-human-BNU-1-0025872-session-2-bg,Brain Networks,768677,147811137,0.000500322,9851,1,384,0.466461,59213368605,77032,5011165,0.5222,0.323644,1099,229,
1178,bn-human-BNU-1-0025873-session-1-bg,Brain Networks,645518,149547446,0.000717783,8398,1,463,0.388573,57415929606,88945,3883389,0.514156,0.32373,1092,139,
1179,bn-human-BNU-1-0025873-session-2-bg,Brain Networks,692397,140102158,0.000584474,8811,1,404,0.328944,49440585300,71404,2505127,0.519876,0.33697,889,85,
1180,bn-human-BNU-1-0025874-session-2-bg,Brain Networks,769392,163523401,0.000552478,10086,1,425,0.342105,66159963381,85989,6495599,0.514892,0.290896,1082,172,
1181,bn-human-BNU-1-0025876-session-1-bg,Brain Networks,789979,140362426,0.000449832,9570,1,355,0.559432,59919747087,75849,7113019,0.51988,0.325465,1498,176,
1182,bn-human-BNU-1-0025876-session-2-bg,Brain Networks,779330,139871242,0.000460592,9806,1,358,0.587559,62265174318,79895,7505219,0.518217,0.320852,1715,184,
1183,bn-human-BNU-1-0025878-session-1-bg,Brain Networks,699697,127906128,0.000522519,10414,1,365,0.346158,41457279942,59250,3280532,0.518554,0.311805,897,116,
1184,bn-human-BNU-1-0025886-session-1,Brain Networks,780185,158184747,0.000519757,8921,1,405,0.424296,57832562091,74126,4974239,0.511559,0.311555,1128,154,
1185,bn-human-BNU-1-0025889-session-1,Brain Networks,704694,144469850,0.000581844,8528,1,410,0.454428,53844600990,76408,3332637,0.516183,0.322402,1064,205,
1186,bn-human-BNU-1-0025889-session-2,Brain Networks,742862,131926773,0.000478131,7685,1,355,0.37442,43650458322,58759,2700149,0.520727,0.322424,755,187,
1187,bn-human-BNU-1-0025912-session-2,Brain Networks,781747,147562552,0.000482919,9246,1,377,0.369493,51111187743,65380,4782789,0.517559,0.320945,1037,179,
1188,bn-macaque-rhesus-brain-1,Brain Networks,242,4090,0.140256,164,2,33,-0.0549821,78143,322,2683,0.53256,0.361515,26,10,
1189,bn-macaque-rhesus-brain-2,Brain Networks,91,628,0.153358,96,1,13,-0.70906,9963,109,792,1.63385,0.368904,16,12,
1190,bn-macaque-rhesus-cerebral-cortex-1,Brain Networks,91,1989,0.485714,248,6,43,-0.343558,85999,945,3815,1.30491,0.556221,35,21,
1191,bn-macaque-rhesus-interareal-cortical-network-2,Brain Networks,93,2667,0.623422,120,29,57,-0.533611,173532,1865,4198,1.55803,0.745393,56,31,
1192,bn-mouse-brain-1,Brain Networks,213,21654,0.959075,314,98,203,-0.0412774,3536025,16601,31301,0.801338,0.767461,143,35,
1193,bn-mouse-retina-1,Brain Networks,1076,577350,0.998271,7853,1,1073,0.0179917,777207562,722311,8159157,1.55391,0.608175,1024,42,
1194,bn-mouse-visual-cortex-1,Brain Networks,29,44,0.108374,9,1,3,-0.470896,3,0,1,0.0494253,0.0222222,3,3,
1195,bn-mouse-visual-cortex-2,Brain Networks,193,214,0.0115501,31,1,2,-0.844724,12,0,2,0.0212825,0.0046875,3,2,
1196,bio-celegans-dir,Biological Networks,453,4574,0.0446776,634,1,20,-0.0735808,245311,541,26578,3.25902,0.351487,115,9,
1197,bio-celegans,Biological Networks,453,2025,0.0197796,237,1,8,-0.225821,9852,21,870,0.646463,0.124436,11,9,
1198,bio-diseasome,Biological Networks,516,1188,0.00894107,50,1,4,0.0666456,4080,7,152,0.63583,0.430471,11,11,
1199,bio-dmela,Biological Networks,7393,25569,0.000935753,190,1,6,-0.0465044,8697,1,225,0.0118502,0.0149699,12,7,
1200,bio-human-gene1,Biological Networks,21890,12323680,0.0514397,7938,1,1125,0.135545,20455812909,934482,8685050,0.62115,0.572322,2048,1287,
1201,bio-human-gene2,Biological Networks,14022,9027024,0.0918302,7228,1,1287,0.0843645,14716300692,1050000,6966875,0.650693,0.590674,1903,1243,
1202,bio-mouse-gene,Biological Networks,43126,14461095,0.0155512,8031,1,670,0.00168044,10857293586,251757,4238670,0.514156,0.420687,1046,418,
1203,bio-yeast-protein-inter,Biological Networks,1846,4406,0.0025873,112,2,4,-0.16153,2664,1,72,0.0516333,0.0504221,11,6,
1204,bio-yeast,Biological Networks,1458,1948,0.00183401,56,1,2,-0.209541,618,0,18,0.0708305,0.0517761,6,6,
